order_id	customer_id	customer_name	product	category	quantity	price	order_date	region	payment_method	cost	revenue	profit
O0001	C063	Harini	Smart Watch	Electronics	1	5000	2025-05-21	Coimbatore	Credit Card	3200	5000	1800
O0002	C109	Arun	Smart Watch	Electronics	5	5000	2025-02-14	Chennai	UPI	3200	25000	9000
O0003	C130	Swetha	Headphones	Electronics	2	2500	2025-04-30	Chennai	Net Banking	1500	5000	2000
O0004	C057	Ajay	T-Shirt	Fashion	5	800	2025-08-03	Pondicherry	Net Banking	450	4000	1750
O0005	C109	Arun	Shoes	Fashion	1	3000	2025-03-23	Trichy	Debit Card	1900	3000	1100
O0006	C027	Rahul	Keyboard	Electronics	2	1800	2025-06-22	Bengaluru	Cash on Delivery	1100	3600	1400
O0007	C068	Meena	Smart Watch	Electronics	3	5000	2025-06-26	Chennai	Cash on Delivery	3200	15000	5400
O0008	C021	Priya	Water Bottle	Home & Kitchen	1	700	2025-07-13	Madurai	Net Banking	350	700	350
O0009	C018	Deepa	Saree	Fashion	5	2500	2025-04-09	Chennai	Credit Card	1600	12500	4500
O0010	C026	Anitha	Hoodie	Fashion	1	2200	2025-04-30	Salem	Debit Card	1400	2200	800
O0011	C095	Suresh	Cookware Set	Home & Kitchen	3	2800	2025-03-25	Trichy	Credit Card	1800	8400	3000
O0012	C044	Divya	Shoes	Fashion	1	3000	2025-11-08	Coimbatore	Credit Card	1900	3000	1100
O0013	C143	Harini	Cookware Set	Home & Kitchen	4	2800	2025-05-19	Coimbatore	Debit Card	1800	11200	4000
O0014	C081	Priya	Mobile	Electronics	2	22000	2025-01-17	Salem	Debit Card	17000	44000	10000
O0015	C081	Priya	Headphones	Electronics	2	2500	2025-10-18	Coimbatore	Cash on Delivery	1500	5000	2000
O0016	C068	Meena	Coffee Maker	Home & Kitchen	4	4500	2025-03-15	Hyderabad	Credit Card	2900	18000	6400
O0017	C150	Swetha	Water Bottle	Home & Kitchen	5	700	2025-05-15	Salem	Net Banking	350	3500	1750
O0018	C036	Pooja	Coffee Maker	Home & Kitchen	3	4500	2025-04-23	Pondicherry	UPI	2900	13500	4800
O0019	C041	Priya	Mobile	Electronics	1	22000	2025-03-20	Salem	Net Banking	17000	22000	5000
O0020	C120	Keerthana	Headphones	Electronics	4	2500	2025-07-15	Madurai	Net Banking	1500	10000	4000
O0021	C138	Deepa	Laptop	Electronics	1	55000	2025-12-16	Madurai	Debit Card	42000	55000	13000
O0022	C041	Priya	Smart Watch	Electronics	3	5000	2025-08-11	Pondicherry	UPI	3200	15000	5400
O0023	C130	Swetha	Shoes	Fashion	5	3000	2025-04-02	Bengaluru	Debit Card	1900	15000	5500
O0024	C040	Keerthana	Desk Lamp	Home & Kitchen	5	1000	2025-04-12	Trichy	Credit Card	600	5000	2000
O0025	C083	Harini	Water Bottle	Home & Kitchen	5	700	2025-01-01	Pondicherry	UPI	350	3500	1750
O0026	C062	Sanjay	Smart Watch	Electronics	3	5000	2025-06-07	Chennai	Credit Card	3200	15000	5400
O0027	C018	Deepa	Headphones	Electronics	1	2500	2025-09-06	Hyderabad	Credit Card	1500	2500	1000
O0028	C068	Meena	Bedsheet	Home & Kitchen	5	1200	2025-03-26	Salem	Credit Card	700	6000	2500
O0029	C103	Harini	Water Bottle	Home & Kitchen	2	700	2025-06-09	Trichy	Cash on Delivery	350	1400	700
O0030	C064	Divya	Desk Lamp	Home & Kitchen	4	1000	2025-03-03	Coimbatore	UPI	600	4000	1600
O0031	C142	Sanjay	Backpack	Fashion	1	1500	2025-10-29	Coimbatore	Net Banking	900	1500	600
O0032	C016	Pooja	Jeans	Fashion	1	1800	2025-02-06	Coimbatore	UPI	1100	1800	700
O0033	C132	Nisha	Mobile	Electronics	3	22000	2025-02-06	Coimbatore	Debit Card	17000	66000	15000
O0034	C034	Kavya	Bedsheet	Home & Kitchen	2	1200	2025-10-04	Pondicherry	Credit Card	700	2400	1000
O0035	C025	Karthik	Bedsheet	Home & Kitchen	4	1200	2025-04-08	Bengaluru	Cash on Delivery	700	4800	2000
O0036	C120	Keerthana	Saree	Fashion	4	2500	2025-07-30	Chennai	UPI	1600	10000	3600
O0037	C028	Meena	Mobile	Electronics	4	22000	2025-06-23	Coimbatore	Credit Card	17000	88000	20000
O0038	C036	Pooja	T-Shirt	Fashion	5	800	2025-08-18	Salem	Credit Card	450	4000	1750
O0039	C020	Keerthana	Shoes	Fashion	4	3000	2025-05-08	Pondicherry	Net Banking	1900	12000	4400
O0040	C139	Manoj	Smart Watch	Electronics	1	5000	2025-11-30	Chennai	UPI	3200	5000	1800
O0041	C125	Karthik	Jeans	Fashion	2	1800	2025-07-28	Pondicherry	Credit Card	1100	3600	1400
O0042	C098	Deepa	Coffee Maker	Home & Kitchen	1	4500	2025-03-26	Chennai	Cash on Delivery	2900	4500	1600
O0043	C109	Arun	Shoes	Fashion	4	3000	2025-05-27	Pondicherry	Credit Card	1900	12000	4400
O0044	C015	Suresh	T-Shirt	Fashion	3	800	2025-04-22	Chennai	Debit Card	450	2400	1050
O0045	C123	Harini	Mobile	Electronics	1	22000	2025-10-27	Hyderabad	UPI	17000	22000	5000
O0046	C018	Deepa	Desk Lamp	Home & Kitchen	1	1000	2025-04-06	Bengaluru	Credit Card	600	1000	400
O0047	C064	Divya	Coffee Maker	Home & Kitchen	1	4500	2025-10-19	Chennai	Net Banking	2900	4500	1600
O0048	C150	Swetha	Headphones	Electronics	4	2500	2025-12-03	Trichy	Debit Card	1500	10000	4000
O0049	C068	Meena	T-Shirt	Fashion	3	800	2025-05-03	Salem	Credit Card	450	2400	1050
O0050	C019	Manoj	Hoodie	Fashion	4	2200	2025-06-11	Chennai	Cash on Delivery	1400	8800	3200
O0051	C055	Suresh	Smart Watch	Electronics	1	5000	2025-10-03	Madurai	Credit Card	3200	5000	1800
O0052	C095	Suresh	Saree	Fashion	1	2500	2025-05-06	Madurai	Credit Card	1600	2500	900
O0053	C078	Deepa	Cookware Set	Home & Kitchen	5	2800	2025-12-27	Chennai	Net Banking	1800	14000	5000
O0054	C068	Meena	Hoodie	Fashion	1	2200	2025-03-10	Bengaluru	UPI	1400	2200	800
O0055	C073	Ravi	Water Bottle	Home & Kitchen	2	700	2025-05-20	Coimbatore	Debit Card	350	1400	700
O0056	C126	Anitha	T-Shirt	Fashion	3	800	2025-09-16	Madurai	UPI	450	2400	1050
O0057	C012	Nisha	Headphones	Electronics	4	2500	2025-05-22	Chennai	Debit Card	1500	10000	4000
O0058	C114	Kavya	Keyboard	Electronics	3	1800	2025-03-24	Salem	Net Banking	1100	5400	2100
O0059	C039	Manoj	Laptop	Electronics	1	55000	2025-02-08	Chennai	Debit Card	42000	55000	13000
O0060	C033	Ravi	Water Bottle	Home & Kitchen	2	700	2025-08-09	Chennai	Debit Card	350	1400	700
O0061	C054	Kavya	Saree	Fashion	1	2500	2025-07-03	Coimbatore	UPI	1600	2500	900
O0062	C040	Keerthana	Saree	Fashion	5	2500	2025-07-28	Coimbatore	Credit Card	1600	12500	4500
O0063	C046	Anitha	Mouse	Electronics	4	900	2025-01-13	Trichy	Cash on Delivery	500	3600	1600
O0064	C028	Meena	Jeans	Fashion	3	1800	2025-03-23	Salem	UPI	1100	5400	2100
O0065	C118	Deepa	Bedsheet	Home & Kitchen	2	1200	2025-04-13	Trichy	Debit Card	700	2400	1000
O0066	C050	Swetha	Jeans	Fashion	2	1800	2025-01-13	Salem	Debit Card	1100	3600	1400
O0067	C090	Swetha	Shoes	Fashion	1	3000	2025-05-23	Salem	Net Banking	1900	3000	1100
O0068	C067	Rahul	Backpack	Fashion	1	1500	2025-03-01	Hyderabad	Net Banking	900	1500	600
O0069	C112	Nisha	Shoes	Fashion	1	3000	2025-02-25	Trichy	Debit Card	1900	3000	1100
O0070	C030	Swetha	Mixer Grinder	Home & Kitchen	5	3500	2025-09-19	Salem	Net Banking	2300	17500	6000
O0071	C112	Nisha	T-Shirt	Fashion	3	800	2025-01-23	Chennai	Net Banking	450	2400	1050
O0072	C111	Vijay	Water Bottle	Home & Kitchen	2	700	2025-07-06	Bengaluru	Debit Card	350	1400	700
O0073	C130	Swetha	Backpack	Fashion	1	1500	2025-06-03	Madurai	Cash on Delivery	900	1500	600
O0074	C076	Pooja	Backpack	Fashion	4	1500	2025-12-23	Hyderabad	Credit Card	900	6000	2400
O0075	C045	Karthik	Mixer Grinder	Home & Kitchen	4	3500	2025-12-13	Madurai	Cash on Delivery	2300	14000	4800
O0076	C074	Kavya	Water Bottle	Home & Kitchen	1	700	2025-06-05	Coimbatore	Cash on Delivery	350	700	350
O0077	C114	Kavya	Backpack	Fashion	4	1500	2025-08-15	Coimbatore	Net Banking	900	6000	2400
O0078	C022	Sanjay	Bedsheet	Home & Kitchen	2	1200	2025-12-04	Madurai	Net Banking	700	2400	1000
O0079	C080	Keerthana	Backpack	Fashion	1	1500	2025-05-01	Coimbatore	Credit Card	900	1500	600
O0080	C063	Harini	Keyboard	Electronics	1	1800	2025-01-24	Pondicherry	Net Banking	1100	1800	700
O0081	C148	Meena	Headphones	Electronics	4	2500	2025-08-01	Coimbatore	Cash on Delivery	1500	10000	4000
O0082	C038	Deepa	Bedsheet	Home & Kitchen	4	1200	2025-05-05	Chennai	UPI	700	4800	2000
O0083	C133	Ravi	Mixer Grinder	Home & Kitchen	2	3500	2025-04-01	Pondicherry	UPI	2300	7000	2400
O0084	C117	Ajay	Water Bottle	Home & Kitchen	2	700	2025-03-04	Hyderabad	Cash on Delivery	350	1400	700
O0085	C082	Sanjay	Desk Lamp	Home & Kitchen	5	1000	2025-11-01	Pondicherry	Net Banking	600	5000	2000
O0086	C115	Suresh	Desk Lamp	Home & Kitchen	4	1000	2025-10-08	Hyderabad	Cash on Delivery	600	4000	1600
O0087	C071	Vijay	Cookware Set	Home & Kitchen	3	2800	2025-05-07	Pondicherry	Credit Card	1800	8400	3000
O0088	C074	Kavya	Shoes	Fashion	4	3000	2025-02-09	Coimbatore	Debit Card	1900	12000	4400
O0089	C021	Priya	Backpack	Fashion	3	1500	2025-10-04	Hyderabad	Credit Card	900	4500	1800
O0090	C040	Keerthana	Jeans	Fashion	4	1800	2025-12-22	Coimbatore	UPI	1100	7200	2800
O0091	C139	Manoj	Mixer Grinder	Home & Kitchen	4	3500	2025-06-19	Pondicherry	Cash on Delivery	2300	14000	4800
O0092	C100	Keerthana	Mobile	Electronics	2	22000	2025-08-04	Chennai	Net Banking	17000	44000	10000
O0093	C091	Vijay	Coffee Maker	Home & Kitchen	4	4500	2025-01-04	Madurai	Cash on Delivery	2900	18000	6400
O0094	C057	Ajay	Mixer Grinder	Home & Kitchen	5	3500	2025-10-07	Pondicherry	Credit Card	2300	17500	6000
O0095	C008	Meena	Shoes	Fashion	4	3000	2025-09-06	Salem	Debit Card	1900	12000	4400
O0096	C033	Ravi	Coffee Maker	Home & Kitchen	2	4500	2025-08-28	Chennai	Cash on Delivery	2900	9000	3200
O0097	C110	Swetha	Laptop	Electronics	1	55000	2025-11-26	Hyderabad	Cash on Delivery	42000	55000	13000
O0098	C098	Deepa	Mouse	Electronics	1	900	2025-05-14	Trichy	Credit Card	500	900	400
O0099	C098	Deepa	Cookware Set	Home & Kitchen	3	2800	2025-06-22	Madurai	Cash on Delivery	1800	8400	3000
O0100	C005	Karthik	Shoes	Fashion	1	3000	2025-08-29	Chennai	Debit Card	1900	3000	1100
O0101	C011	Vijay	Jeans	Fashion	1	1800	2025-11-30	Chennai	Credit Card	1100	1800	700
O0102	C040	Keerthana	T-Shirt	Fashion	1	800	2025-11-15	Coimbatore	Credit Card	450	800	350
O0103	C056	Pooja	Bedsheet	Home & Kitchen	1	1200	2025-10-16	Pondicherry	Debit Card	700	1200	500
O0104	C030	Swetha	Saree	Fashion	2	2500	2025-11-07	Hyderabad	Debit Card	1600	5000	1800
O0105	C080	Keerthana	Smart Watch	Electronics	5	5000	2025-01-14	Salem	Cash on Delivery	3200	25000	9000
O0106	C063	Harini	T-Shirt	Fashion	1	800	2025-10-31	Bengaluru	Debit Card	450	800	350
O0107	C089	Arun	Smart Watch	Electronics	5	5000	2025-01-22	Salem	Debit Card	3200	25000	9000
O0108	C088	Meena	Headphones	Electronics	5	2500	2025-11-28	Chennai	Cash on Delivery	1500	12500	5000
O0109	C093	Ravi	Bedsheet	Home & Kitchen	1	1200	2025-08-10	Pondicherry	Credit Card	700	1200	500
O0110	C070	Swetha	Mixer Grinder	Home & Kitchen	2	3500	2025-09-25	Pondicherry	Cash on Delivery	2300	7000	2400
O0111	C083	Harini	Mixer Grinder	Home & Kitchen	5	3500	2025-05-18	Coimbatore	UPI	2300	17500	6000
O0112	C119	Manoj	Shoes	Fashion	4	3000	2025-05-05	Salem	Debit Card	1900	12000	4400
O0113	C047	Rahul	Laptop	Electronics	4	55000	2025-06-16	Pondicherry	Credit Card	42000	220000	52000
O0114	C072	Nisha	Saree	Fashion	3	2500	2025-06-24	Madurai	Net Banking	1600	7500	2700
O0115	C022	Sanjay	Laptop	Electronics	5	55000	2025-04-08	Coimbatore	Cash on Delivery	42000	275000	65000
O0116	C122	Sanjay	Bedsheet	Home & Kitchen	5	1200	2025-05-04	Pondicherry	Cash on Delivery	700	6000	2500
O0117	C057	Ajay	Laptop	Electronics	1	55000	2025-05-31	Salem	Credit Card	42000	55000	13000
O0118	C122	Sanjay	Hoodie	Fashion	5	2200	2025-07-08	Trichy	Cash on Delivery	1400	11000	4000
O0119	C117	Ajay	Water Bottle	Home & Kitchen	3	700	2025-06-30	Madurai	Debit Card	350	2100	1050
O0120	C050	Swetha	Shoes	Fashion	2	3000	2025-03-03	Trichy	UPI	1900	6000	2200
O0121	C056	Pooja	Water Bottle	Home & Kitchen	2	700	2025-04-09	Pondicherry	Debit Card	350	1400	700
O0122	C026	Anitha	Desk Lamp	Home & Kitchen	5	1000	2025-05-25	Coimbatore	Debit Card	600	5000	2000
O0123	C078	Deepa	Jeans	Fashion	3	1800	2025-04-02	Chennai	Net Banking	1100	5400	2100
O0124	C014	Kavya	Keyboard	Electronics	3	1800	2025-01-24	Madurai	Credit Card	1100	5400	2100
